gene_symbol,Spearman_rho,p,p_fdr,p_spin,p_spin_fdr
ADAM15,0.386795065323271,0.00112090303420633,0.389142188451866,0,0
CGN,0.4395919045793,0.000176396277938314,0.319760786612648,0,0
CHADL,0.398686761222225,0.000758557524147029,0.389142188451866,0,0
DDX39A,0.426993960288274,0.000281973742456671,0.374313876382446,0,0
DNM2,0.409814945345965,0.000519416940553922,0.389142188451866,0,0
GLYCTK,0.445012838183318,0.000143336476132944,0.319760786612648,0,0
GPR150,-0.37614407605904,0.00157109885553485,0.42232498039632,0,0
GRIA2,-0.469120722485691,5.45367525795646e-05,0.213143263269083,0,0
HOMER3,0.373395433668271,0.00171103069429669,0.42232498039632,0,0
IRAK4,0.39227326231043,0.000938052190825827,0.389142188451866,0,0
LYG1,0.388818371527588,0.00104992144071919,0.389142188451866,0,0
MEAF6,-0.411055651980687,0.000497535824838532,0.389142188451866,0,0
OR7E156P,0.477347561863619,3.85608759126394e-05,0.213143263269083,0,0
PTPRCAP,0.484753626083192,2.80084959533279e-05,0.213143263269083,0,0
RNF38,-0.392769544964319,0.00092290084806173,0.389142188451866,0,0
SLC9A6,-0.310672941334463,0.00992231932516888,0.444550864668628,0,0
SMKR1,-0.38169862422372,0.0013192948242787,0.389142188451866,0,0
TSHZ2,-0.462306379891908,7.21948957686956e-05,0.225724561110404,0,0
ZNF681,-0.371620268790899,0.00180725484878268,0.42232498039632,0,0
AKT1S1,0.414625069529812,0.00043918454906047,0.389142188451866,0.0005,0.15633
BBS9,0.471144028690007,5.01211287980092e-05,0.213143263269083,0.0005,0.15633
BRWD1,-0.322965480915404,0.00722559859727822,0.444550864668628,0.0005,0.15633
C17orf51,-0.348275896263739,0.00360938075359616,0.429366918030995,0.0005,0.15633
CAPN15,0.351215416598312,0.00331753254418171,0.429366918030995,0.0005,0.15633
CCNYL1,-0.349783832019786,0.00345693448412599,0.429366918030995,0.0005,0.15633
CDH26,0.397770547091969,0.000782129003701417,0.389142188451866,0.0005,0.15633
CFAP53,0.359079587883013,0.00263727450413764,0.429366918030995,0.0005,0.15633
CRYM,-0.338426594363482,0.00476051580611915,0.429366918030995,0.0005,0.15633
EDA,0.346615258152649,0.00378414974784815,0.429366918030995,0.0005,0.15633
FGFR2,0.369730577147245,0.0019150002434535,0.42232498039632,0.0005,0.15633
FLT3LG,0.388264825490558,0.00106892569997526,0.389142188451866,0.0005,0.15633
HAPLN2,0.393113125263165,0.000912541591412834,0.389142188451866,0.0005,0.15633
HBEGF,0.381011463626028,0.0013483369775492,0.390343555000493,0.0005,0.15633
HCP5,0.43846572471086,0.000184087960053338,0.319760786612648,0.0005,0.15633
IQCJ,-0.352074367345427,0.00323631305195409,0.429366918030995,0.0005,0.15633
LRP5,0.443619429193553,0.000151240844611287,0.319760786612648,0.0005,0.15633
MICALL1,0.387195909005259,0.00110650566030399,0.389142188451866,0.0005,0.15633
MYO1E,0.408116131646115,0.000550798921606075,0.389142188451866,0.0005,0.15633
NBPF10,0.397961425035772,0.000777164204806431,0.389142188451866,0.0005,0.15633
NCKAP5,0.370646791277501,0.00186206063368903,0.42232498039632,0.0005,0.15633
PANX1,-0.3627826199928,0.0023624483495714,0.429366918030995,0.0005,0.15633
POU3F3,0.335716127561473,0.00512954573087986,0.431525890885704,0.0005,0.15633
SHB,0.401225437874811,0.000696572239839007,0.389142188451866,0.0005,0.15633
SPPL2B,0.382175819083228,0.00129945971071179,0.389142188451866,0.0005,0.15633
SRPK3,0.381774975401241,0.00131610297812219,0.389142188451866,0.0005,0.15633
TNFSF12,-0.368566221690044,0.00198422413622343,0.42232498039632,0.0005,0.15633
TSEN54,0.367993587858634,0.00201908485874951,0.42232498039632,0.0005,0.15633
USH1C,0.39563271412137,0.000839732997137754,0.389142188451866,0.0005,0.15633
XPO1,-0.390097253751071,0.00100717760485573,0.389142188451866,0.0005,0.15633
ZFAND6,0.400156521389512,0.000722088005714316,0.389142188451866,0.0005,0.15633
ATP9A,-0.305557412440531,0.0112803046007052,0.444550864668628,0.001,0.177647727272727
BCAS1,0.333177450908888,0.00549786212303087,0.440759377278675,0.001,0.177647727272727
BTN3A2,0.363221639263548,0.00233162660217745,0.429366918030995,0.001,0.177647727272727
CCDC78,0.356388208875385,0.00285457913676859,0.429366918030995,0.001,0.177647727272727
CRIM1,-0.351711699252201,0.00327038730708783,0.429366918030995,0.001,0.177647727272727
DENR,-0.426478589840005,0.000287325946177276,0.374313876382446,0.001,0.177647727272727
DPP10,-0.320312277496537,0.00774589845200799,0.444550864668628,0.001,0.177647727272727
DSCAML1,0.335697039767093,0.00513223166443267,0.431525890885704,0.001,0.177647727272727
ELMOD3,0.297330573062604,0.0138026396436286,0.459142889768339,0.001,0.177647727272727
FAM225B,0.374368911181668,0.00166024020564273,0.42232498039632,0.001,0.177647727272727
GABRE,-0.394983729112439,0.000857965349635704,0.389142188451866,0.001,0.177647727272727
GANC,0.34333215751923,0.00415191999509214,0.429366918030995,0.001,0.177647727272727
GHR,-0.325847737866836,0.00669534600887876,0.444550864668628,0.001,0.177647727272727
GPR146,0.393151300851926,0.000911397084986706,0.389142188451866,0.001,0.177647727272727
H3.Y,0.337873048326452,0.00483391400073275,0.429366918030995,0.001,0.177647727272727
