gene_symbol	Spearman_rho
GRIA2	-0.469120722
TSHZ2	-0.46230638
DENR	-0.42647859
MEAF6	-0.411055652
GABRE	-0.394983729
RNF38	-0.392769545
LOC441204	-0.391471575
XPO1	-0.390097254
OGT	-0.389543708
OPCML	-0.385917027
SEC24D	-0.382710277
PLCXD3	-0.381794063
SMKR1	-0.381698624
GPR150	-0.376144076
TBL1XR1	-0.375819584
ZNF681	-0.371620269
LOC728485	-0.370169596
TNFSF12	-0.368566222
CYP4X1	-0.366581091
SORCS3	-0.364901365
PANX1	-0.36278262
LASP1	-0.361713704
USP46	-0.361618265
AGBL4	-0.360950192
PTPRO	-0.36018668
PKD2L1	-0.354135849
CDYL2	-0.35274244
TUBB	-0.352207982
IQCJ	-0.352074367
CRIM1	-0.351711699
CCNYL1	-0.349783832
C17orf51	-0.348275896
NETO1	-0.346328941
NMT1	-0.34546999
PSD3	-0.3452982
SHC3	-0.345260025
PLXNA1	-0.344725567
GUCY1B1	-0.343771177
KCNG3	-0.342377768
C1orf115	-0.341900573
NEXMIF	-0.340755305
PITPNM2	-0.339610038
BMPR2	-0.339400072
CRYM	-0.338426594
TUFT1	-0.338426594
RASD1	-0.338102102
RCN2	-0.337071361
CAMSAP1	-0.33569704
RNF215	-0.335620689
WDR17	-0.335238933
ARX	-0.334933528
CACNB2	-0.334647211
BASP1	-0.332051271
C11orf95	-0.33033337
C19orf12	-0.330276106
SPEF2	-0.329436243
DGKB	-0.327871044
EID1	-0.327794693
ID2	-0.327355674
SNX13	-0.326534898
FAM187A	-0.326515811
GHR	-0.325847738
PNMA2	-0.325446894
KBTBD6	-0.324836085
GRAMD4	-0.324607031
GPD2	-0.32374808
IPO5P1	-0.323423588
SNTB1	-0.32323271
BRWD1	-0.322965481
PNMA8A	-0.322660076
RFX3	-0.322621901
TRPC5	-0.322316496
RELN	-0.322259233
GRIK2	-0.321667511
GSTM2P1	-0.321171228
BRPF3	-0.320999438
ARNTL2	-0.320789472
AMPH	-0.320331365
DPP10	-0.320312277
VOPP1	-0.320102312
OBSCN	-0.320083224
BORCS5	-0.319319712
KCNB2	-0.319109746
DAGLB	-0.318937956
DUSP5P1	-0.318594376
CHAF1B	-0.318498937
SCN2A	-0.318365322
MPPED2	-0.318002654
NOV	-0.31752546
BEX1	-0.317239143
CHL1	-0.317162791
CDH9	-0.316303841
LAMP5	-0.315559417
CARTPT	-0.315234924
RAP2A	-0.314452325
CYP4Z1	-0.314414149
DUSP28	-0.313936954
ABI2	-0.312906213
ANKRD30B	-0.312734423
MMS19	-0.312696248
RTN3	-0.311932736
NUS1	-0.311799121
GPR83	-0.311570068
BCL2L13	-0.311455541
SLC9A6	-0.310672941
SYTL5	-0.310367537
TSPOAP1	-0.310348449
BRMS1L	-0.310004869
ASXL3	-0.30947041
PCMTD2	-0.309088654
ZDHHC23	-0.309031391
OCA2	-0.30895504
SERBP1	-0.308668723
AZIN1	-0.308554196
UNC13A	-0.308210616
RPRM	-0.30731349
IL23A	-0.306988997
KCNAB1	-0.306664505
MRO	-0.306149134
HMGCLL1	-0.305786466
DLEU7	-0.305710115
PHLPP2	-0.305710115
ATP9A	-0.305557412
DNAJC5	-0.305538325
KLHL12	-0.305423798
ARNT2	-0.305347447
LRRTM4	-0.305137481
SLC4A10	-0.304622111
COL12A1	-0.304412145
PJA1	-0.303285965
NSMF	-0.303056911
MCTP1	-0.302827858
C11orf80	-0.302312487
ZNF184	-0.301987995
STAT6	-0.30185438
TNRC6B	-0.301529888
CBLN4	-0.300537323
SIRT3	-0.300441884
MORF4L2	-0.300270093
CAMLG	-0.29986925
DDR2	-0.299831074
UBE2E2	-0.299506582
KCNJ4	-0.299315704
TBC1D24	-0.298647631
DOK4	-0.298533104
SERPINI1	-0.298304051
TEF	-0.297731417
GRPR	-0.29710152
GRM1	-0.29683429
SPRED1	-0.296719764
LOC728392	-0.296452535
VIP	-0.296223481
SPATA7	-0.29614713
ZMAT2	-0.296108954
TMEM231	-0.296032603
CACHD1	-0.295822637
PTPN9	-0.29580355
UBR1	-0.295746286
CD53	-0.295708111
SNX32	-0.295288179
IDNK	-0.295269091
LPL	-0.295230916
MAOB	-0.295001862
PRICKLE2	-0.294104736
JMJD1C-AS1	-0.29406656
SNHG28	-0.29355119
GPM6A	-0.293245785
PRKAA2	-0.292997644
FJX1	-0.292749502
CAPRIN1	-0.292730415
ITFG1	-0.292730415
