gene_symbol,Spearman_rho,p,p_fdr,p_spin,p_spin_fdr
ABCB9,0.400183238235055,0.00072144005756472,0.100772156272173,0,0
ATP9A,-0.445553626353186,0.000140372487541215,0.0699028294616905,0,0
BUB3,-0.320303106020341,0.00774775243846302,0.181060489102594,0,0
C1orf220,-0.31066404586062,0.00992455139489333,0.191719453830413,0,0
CDC42BPB,-0.425225707402488,0.000300727318180223,0.0773409952507382,0,0
CMIP,-0.373022084557268,0.00173087734983548,0.125579474136518,0,0
FNDC4,0.366914165248138,0.00208629401052255,0.135332092392112,0,0
IGFBP6,0.383348285639266,0.0012518618141035,0.118268131934144,0,0
IPO5P1,-0.406768338740211,0.00057691329098324,0.0980313638906629,0,0
LRRC57,-0.381000554154819,0.00134880266526599,0.118459730708445,0,0
NLGN4Y,-0.461262431326354,7.53255762110549e-05,0.0692685137004365,0,0
NTHL1,0.408199882328288,0.000549212258237739,0.0970425042087624,0,0
PIP4K2B,-0.444389304234883,0.000146825385869229,0.0699028294616905,0,0
PPIE,0.462617625923068,7.12850381329588e-05,0.0692685137004365,0,0
PPP1R9B,-0.44543910286614,0.000140995428263212,0.0699028294616905,0,0
SASH1,-0.30640758959207,0.0110440227427202,0.193699404560432,0,0
ZNF205-AS1,-0.47044339753789,5.16112615362716e-05,0.0692685137004365,0,0
ZNRF4,-0.3758279099899,0.00158665316648352,0.122064929143071,0,0
AAAS,0.274150140740728,0.023677600509695,0.234719041704541,0.0085,0.15017978042086
AANAT,-0.337863374034089,0.00483520562143263,0.162727941377346,0.0055,0.15017978042086
ABCB6,-0.32583840789424,0.00669700577698341,0.177510248081833,0.004,0.15017978042086
ABCC6,-0.325533011928783,0.00675153447450192,0.177510248081833,0.007,0.15017978042086
ABCF2,0.280468019776109,0.0205240340532556,0.227657200338056,0.007,0.15017978042086
ABHD10,0.296844878423714,0.0139656769906768,0.205480827712018,0.0065,0.15017978042086
ABHD17A,0.303678113150803,0.0118182116490965,0.197242431817445,0.01,0.15017978042086
ACOT2,-0.291118704071404,0.016016574381183,0.214228648231716,0.0105,0.15017978042086
ACTG1P4,-0.242923403272801,0.0459265810840433,0.287528190947928,0.0105,0.15017978042086
ACTR1B,0.296940314662919,0.0139335106072259,0.205480827712018,0.01,0.15017978042086
ACTR3,-0.236090168545712,0.0525926296313109,0.299737724763501,0.007,0.15017978042086
ACTR6,0.377469413304229,0.00150737842087307,0.122064929143071,0.0075,0.15017978042086
ACYP2,0.289668073235486,0.0165754427299905,0.214666364106301,0.0065,0.15017978042086
ADA2,-0.302952797732844,0.012031683482338,0.197439183213581,0.0085,0.15017978042086
ADAMTS5,0.363115802927773,0.0023390238456574,0.137650639748751,0.005,0.15017978042086
ADAR,-0.324025119349342,0.00702652351655122,0.177510248081833,0.0065,0.15017978042086
ADGRV1,-0.239659483891985,0.0490183239430692,0.293032604938827,0.0075,0.15017978042086
ADPRHL1,0.256914355940277,0.034435724740204,0.261200235256482,0.007,0.15017978042086
ADPRM,0.320074059046248,0.0077941797638738,0.181060489102594,0.003,0.15017978042086
ADRA2C,-0.311351186782897,0.00975341412009147,0.19101714000154,0.0095,0.15017978042086
AGAP2,-0.241224638214949,0.0475150810206722,0.290605672628104,0.0045,0.15017978042086
AGO2,0.331679105733595,0.00572601987868442,0.169857435983821,0.0075,0.15017978042086
AGXT,-0.330533870863133,0.00590599231449018,0.173223973456707,0.0065,0.15017978042086
AHSG,-0.312229200183585,0.00953848197739422,0.1894118460137,0.0085,0.15017978042086
AIFM1,0.404057949546785,0.000632867240538489,0.100772156272173,0.0005,0.15017978042086
AIFM3,0.369490943706678,0.00192906737548203,0.131997726937646,0.003,0.15017978042086
AIP,0.334694890892478,0.00527500440757431,0.167360616295906,0.0025,0.15017978042086
AK5,-0.443931210286698,0.000149438181379314,0.0699028294616905,0.0005,0.15017978042086
AKIRIN1,-0.240537497292672,0.0481703111946521,0.292192558838608,0.008,0.15017978042086
ALDH1A3,0.298352771003155,0.0134648664088871,0.203543252417959,0.0055,0.15017978042086
ALDH1B1,0.265007349024874,0.0289621253470694,0.24727739243623,0.006,0.15017978042086
ALDOC,0.335343857319073,0.00518215418116677,0.166350341507557,0.005,0.15017978042086
ALKAL1,-0.376114218707515,0.00157256185035999,0.122064929143071,0.0015,0.15017978042086
ALKBH2,0.375388903289556,0.00160848048381453,0.122064929143071,0.0035,0.15017978042086
ALKBH3,0.36861293030599,0.00198140456370351,0.132941191177584,0.001,0.15017978042086
AMACR,0.291805844993682,0.0157575466904287,0.213376143391922,0.0105,0.15017978042086
AMDHD1,0.301082247444423,0.0125976918883129,0.200754044128435,0.004,0.15017978042086
ANAPC2,0.330171213154154,0.00596401262736505,0.17394665933507,0.004,0.15017978042086
ANGPT2,0.402511882471661,0.000666950711504198,0.100772156272173,0.001,0.15017978042086
ANHX,-0.261819778635422,0.0310236508090714,0.254322356108135,0.0045,0.15017978042086
ANKDD1A,-0.321181119421028,0.00757201626423651,0.181060489102594,0.0025,0.15017978042086
ANKRD11,-0.277833979574047,0.0217923926686882,0.230969813281087,0.003,0.15017978042086
ANKRD19P,-0.229161497579418,0.0601382809705204,0.314218498132402,0.0075,0.15017978042086
ANKRD34C,0.324979481741393,0.00685136199932641,0.177510248081833,0.0075,0.15017978042086
ANO3,-0.32768987093482,0.00637463068376107,0.176068200493351,0.007,0.15017978042086
AP5S1,-0.320322193268182,0.00774389444540149,0.181060489102594,0.002,0.15017978042086
APPL1,0.312114676696538,0.00956628052088206,0.1894118460137,0.0025,0.15017978042086
ARF1,-0.384340822527,0.0012128038230632,0.118268131934144,0.0025,0.15017978042086
ARG2,0.341432689380362,0.0043788660864431,0.16145003190888,0.0015,0.15017978042086
ARHGAP18,-0.286003321650008,0.0180623733670861,0.220428636102776,0.0045,0.15017978042086
ARHGAP6,-0.375407990537397,0.00160752588428757,0.122064929143071,0.0055,0.15017978042086
ARHGEF28,-0.340211105518536,0.00453055994944612,0.161778678378738,0.002,0.15017978042086
ARID5B,0.39008608412715,0.00100754401019044,0.112287282056066,0.0075,0.15017978042086
ARL2,0.242064477119955,0.0467242046465144,0.289152740184001,0.0065,0.15017978042086
ARL4A,-0.246168235405776,0.0430138119776826,0.280298008606549,0.0065,0.15017978042086
ARMCX1,-0.280219885554176,0.0206407704578003,0.227657200338056,0.009,0.15017978042086
ARMT1,0.297131187141329,0.0138693694906342,0.205480827712018,0.0035,0.15017978042086
ASGR1,0.410223130599438,0.000512123336259471,0.0941885190087567,0.0025,0.15017978042086
ASH1L-AS1,-0.331793629220641,0.0057082911949206,0.169857435983821,0.01,0.15017978042086
ASRGL1,0.436105438671876,0.00020121712568132,0.0699028294616905,0.0045,0.15017978042086
ASTN1,-0.425683801350673,0.000295762414051808,0.0773409952507382,0.0005,0.15017978042086
ATAD3C,-0.348571320072908,0.00357905249914558,0.158720954166325,0.009,0.15017978042086
ATG4D,0.273291214587881,0.0241365011917561,0.23628438201261,0.0105,0.15017978042086
ATP2C1,-0.329006891035851,0.00615369397864414,0.174276626753884,0.005,0.15017978042086
ATP5S,0.37361378924034,0.00169951824016168,0.125255956083976,0.009,0.15017978042086
ATP6V0A2,0.445649062592391,0.00013985530563446,0.0699028294616905,0.003,0.15017978042086
ATP6V0E2-AS1,-0.266629765091362,0.0279578864909397,0.245818694889123,0.0105,0.15017978042086
ATP9B,-0.297131187141329,0.0138693694906342,0.205480827712018,0.0055,0.15017978042086
AVEN,0.259433872655293,0.0326460313915689,0.256663727563728,0.0095,0.15017978042086
AVPI1,0.3765723126557,0.00155024975705318,0.122064929143071,0.001,0.15017978042086
AZIN1,-0.316466569204294,0.00855820247723791,0.185744871286454,0.005,0.15017978042086
B3GAT3,0.336298219711125,0.00504823057370842,0.164679338920439,0.0045,0.15017978042086
B3GNT4,-0.368880151775765,0.00196534266062454,0.132431904368722,0.0035,0.15017978042086
B4GAT1,-0.33249985739076,0.00560002917842922,0.169333184035559,0.0065,0.15017978042086
BACH1,0.254280315738215,0.0363935946464534,0.26674650428816,0.005,0.15017978042086
BAIAP2,-0.333091562073832,0.00551072075330519,0.168522016494474,0.0025,0.15017978042086
BAIAP2-AS1,-0.247103510549987,0.0422031580531649,0.277911528999632,0.0075,0.15017978042086
BAZ1B,0.363936554584938,0.00228220463142637,0.137650639748751,0.01,0.15017978042086
BCDIN3D,0.373461091257612,0.00170756165648941,0.125255956083976,0.0025,0.15017978042086
BDH1,0.31843255573192,0.00813409387035911,0.182964445288236,0.0045,0.15017978042086
BEST4,-0.318050810775099,0.00821497681963918,0.183155816877496,0.0035,0.15017978042086
BEX1,-0.337825199538407,0.00484030529907668,0.162727941377346,0.0095,0.15017978042086
BHLHE41,0.39842721143368,0.000765168682505884,0.103779376219783,0.0015,0.15017978042086
BID,0.209329847072587,0.0866735317627561,0.356078045517868,0.01,0.15017978042086
BIRC3,-0.308659884837312,0.0104387144615338,0.191719453830413,0.008,0.15017978042086
BMF,-0.324139642836388,0.00700529877208831,0.177510248081833,0.006,0.15017978042086
BMS1,0.435055640040619,0.000209295792009133,0.0704154256578933,0.0025,0.15017978042086
BORCS8-MEF2B,-0.285965147154326,0.0180784439123166,0.220452662777883,0.0065,0.15017978042086
BSN,-0.40915424472034,0.000531423230406412,0.0959330197148972,0.0015,0.15017978042086
