gene_symbol,Spearman_rho,p,p_fdr,p_spin,p_spin_fdr
CDH26,0.397770547091969,0.000782129003701417,0.202571411958667,0,0
MEIS2,0.334532684309892,0.00529844004093003,0.499750184065783,0.0005,0.097125
NBPF10,0.397961425035772,0.000777164204806431,0.202571411958667,0.0005,0.097125
NBPF11,0.403382358639789,0.000647561210121402,0.202571411958667,0.0005,0.097125
DPP10,-0.320312277496537,0.00774589845200799,0.501546924767517,0.0015,0.19425
PSD3,-0.345298200340406,0.00392805988399767,0.499750184065783,0.0015,0.19425
NCKAP5,0.370646791277501,0.00186206063368903,0.361705278094094,0.0025,0.215833333333333
GPD2,-0.323748080484998,0.00707810085304137,0.499971305710286,0.0025,0.215833333333333
WDR17,-0.335238932701965,0.00519706768772165,0.499750184065783,0.0025,0.215833333333333
GPM6A,-0.29324578506521,0.0152263951918696,0.512789715362422,0.003,0.2331
GPC5,-0.259651266955806,0.0324953256982819,0.512789715362422,0.017,0.235238532110092
PAMR1,-0.208534153605248,0.0879052640349173,0.56549941120335,0.029,0.235238532110092
NHSL1,-0.231210453329095,0.0578207625942692,0.542425425488207,0.026,0.235238532110092
RGS20,-0.220139532588496,0.071253178277434,0.557733734000621,0.032,0.235238532110092
CTNNA2,-0.261292817272516,0.0313760345798486,0.512789715362422,0.022,0.235238532110092
CPE,-0.256864448976276,0.0344719861610315,0.512789715362422,0.021,0.235238532110092
CACNB2,-0.334647211076174,0.00528188368440043,0.499750184065783,0.0055,0.235238532110092
GABRB1,-0.215978393413582,0.0769061596808811,0.557733734000621,0.0255,0.235238532110092
CTNND2,-0.230446941553882,0.0586757239895563,0.542425425488207,0.0325,0.235238532110092
DST,0.253543172754097,0.0369578173234178,0.512789715362422,0.0115,0.235238532110092
CADM1,-0.227450157836168,0.0621310976427934,0.542425425488207,0.0255,0.235238532110092
NEAT1,0.281182299016833,0.0201911319262319,0.512789715362422,0.008,0.235238532110092
ADCY2,-0.216360149301188,0.0763731009016267,0.557733734000621,0.0165,0.235238532110092
PCDH9,0.228099142845099,0.0613691767966286,0.542425425488207,0.0285,0.235238532110092
DOCK4,-0.240582560369844,0.0481271148079776,0.542425425488207,0.033,0.235238532110092
MKLN1,0.192786723241465,0.115232991839274,0.598447249807216,0.028,0.235238532110092
ZSWIM6,0.257589785162729,0.0339480944191527,0.512789715362422,0.0135,0.235238532110092
TRPM3,0.293894770074142,0.0149920845438262,0.512789715362422,0.01,0.235238532110092
ETNPPL,-0.222220102175954,0.0685542029311136,0.549140367809024,0.0295,0.235238532110092
CEP350,0.225197798099287,0.0648349237714269,0.546375493255274,0.0255,0.235238532110092
ID2,-0.327355673622883,0.00643179130071793,0.499750184065783,0.006,0.235238532110092
FOS,0.236383245606168,0.0522913411822453,0.542425425488207,0.031,0.235238532110092
KCNN3,-0.231935789515548,0.0570179466565852,0.542425425488207,0.0165,0.235238532110092
CRYAB,0.278471832214825,0.0214792903272783,0.512789715362422,0.008,0.235238532110092
DAAM2,0.267171857941662,0.0276289489876719,0.512789715362422,0.0195,0.235238532110092
SELENBP1,-0.232088491870591,0.0568500926191243,0.542425425488207,0.032,0.235238532110092
OAF,-0.231344067889758,0.0576721896730519,0.542425425488207,0.0175,0.235238532110092
GABRG1,-0.245010928666083,0.0440346693177219,0.542425425488207,0.0215,0.235238532110092
GABRA2,-0.229473464040484,0.059780644883795,0.542425425488207,0.0185,0.235238532110092
CACHD1,-0.295822637306557,0.0143142554016141,0.512789715362422,0.007,0.235238532110092
ACACB,0.251748920082344,0.0383616461595311,0.513913776999235,0.0195,0.235238532110092
WFS1,-0.261311905066896,0.0313632120944395,0.512789715362422,0.012,0.235238532110092
TPCN1,0.224739691034159,0.0653962945595116,0.546375493255274,0.0215,0.235238532110092
HGF,-0.189446359224905,0.121790905164804,0.602683836373583,0.033,0.235238532110092
CAPN2,0.226858436210377,0.0628324374719009,0.542453376840744,0.0235,0.235238532110092
SIRPA,-0.280724191951705,0.0204041067394183,0.512789715362422,0.008,0.235238532110092
ANKDD1A,-0.253562260548477,0.0369431159265675,0.512789715362422,0.016,0.235238532110092
SLC30A10,-0.211740903061145,0.083024205805121,0.560954851396339,0.0265,0.235238532110092
HOPX,-0.267763579567452,0.0272736256531961,0.512789715362422,0.011,0.235238532110092
TTC30A,-0.23983813638901,0.0488447909271889,0.542425425488207,0.023,0.235238532110092
CASC10,-0.230275151404458,0.0588694968753558,0.542425425488207,0.0215,0.235238532110092
RASSF4,0.231076838768433,0.0579696461822136,0.542425425488207,0.019,0.235238532110092
DPYSL3,-0.197005125799521,0.107343056681262,0.598447249807216,0.033,0.235238532110092
AASS,0.278929939279953,0.0212567878677855,0.512789715362422,0.0045,0.235238532110092
MUTYH,0.247301463991724,0.042033210528965,0.542425425488207,0.014,0.235238532110092
LINC01158,0.207503412708709,0.0895213076053823,0.56549941120335,0.023,0.235238532110092
ZNF717,0.215539374142834,0.0775228356139859,0.557733734000621,0.016,0.235238532110092
ORAI3,0.193397532661636,0.1140637422225,0.598447249807216,0.0305,0.235238532110092
DKK3,-0.276505789393649,0.0224568292832855,0.512789715362422,0.01,0.235238532110092
ATP6AP1L,0.290630757235103,0.0162027260435712,0.512789715362422,0.005,0.235238532110092
HSBP1L1,0.229378025068582,0.0598898719749044,0.542425425488207,0.0295,0.235238532110092
LANCL2,-0.278510007803585,0.0214606730934437,0.512789715362422,0.019,0.235238532110092
INTS3,-0.278643622364248,0.0213956208359275,0.512789715362422,0.0095,0.235238532110092
RANBP3L,-0.258009716639097,0.0336478399931758,0.512789715362422,0.019,0.235238532110092
LHX2,-0.268278950015721,0.0269672968398225,0.512789715362422,0.0165,0.235238532110092
PPP1R1B,-0.272344650218735,0.0246509283971741,0.512789715362422,0.012,0.235238532110092
SPON1,0.23367277880416,0.0551322000511655,0.542425425488207,0.03,0.235238532110092
AK4,-0.25371496290352,0.0368256798256396,0.512789715362422,0.018,0.235238532110092
FGF2,-0.256100937201063,0.0350307241318363,0.512789715362422,0.0125,0.235238532110092
RLBP1,-0.232642037907621,0.0562449860317426,0.542425425488207,0.032,0.235238532110092
VAV3,0.188701935244071,0.123290489560996,0.602683836373583,0.0315,0.235238532110092
NADK2,-0.230695082880826,0.0583967437070289,0.542425425488207,0.031,0.235238532110092
PHKA1,0.255356513220229,0.0355827462237709,0.512789715362422,0.0185,0.235238532110092
ABCD2,0.226247626790206,0.0635630947811562,0.542731040054487,0.0255,0.235238532110092
FAM171B,-0.229530727423625,0.0597151861539354,0.542425425488207,0.0225,0.235238532110092
HHATL,0.256329990733627,0.0348623151659438,0.512789715362422,0.0265,0.235238532110092
MRAS,-0.237299459736425,0.0513585396741752,0.542425425488207,0.016,0.235238532110092
MRO,-0.306149134066322,0.0111153941872309,0.512789715362422,0.009,0.235238532110092
PTCH1,-0.270569485341363,0.025640712363463,0.512789715362422,0.0095,0.235238532110092
CDH4,-0.254745703800058,0.0360410851795602,0.512789715362422,0.0155,0.235238532110092
SRI,-0.245736264852536,0.0433925420355423,0.542425425488207,0.0255,0.235238532110092
FJX1,-0.292749502411321,0.0154076930472702,0.512789715362422,0.008,0.235238532110092
DCXR,0.297063343941279,0.0138921384007572,0.512789715362422,0.017,0.235238532110092
STK33,0.296853378203095,0.0139628095802683,0.512789715362422,0.006,0.235238532110092
GLUD2,-0.23649777237245,0.0521739894676735,0.542425425488207,0.022,0.235238532110092
NACC2,0.260624744469204,0.031827597672765,0.512789715362422,0.009,0.235238532110092
GSTM5,-0.267171857941662,0.0276289489876719,0.512789715362422,0.019,0.235238532110092
TMEM56,-0.243961099975164,0.044977927063403,0.542425425488207,0.0315,0.235238532110092
ELMO2,-0.22143750260636,0.0695596162586641,0.551508386050836,0.031,0.235238532110092
ARSJ,-0.232832915851424,0.0560375474102393,0.542425425488207,0.029,0.235238532110092
UG0898H09,-0.222372804530996,0.0683593921303917,0.549140367809024,0.0255,0.235238532110092
SLC25A29,0.274177078479247,0.023663328862218,0.512789715362422,0.014,0.235238532110092
ACSF2,-0.252665134212601,0.0376393623507991,0.513083939413524,0.0215,0.235238532110092
NEK1,0.212752556163304,0.0815296897128218,0.560954851396339,0.027,0.235238532110092
ASTN1,-0.283091078454868,0.0193240152765958,0.512789715362422,0.0075,0.235238532110092
MAOB,-0.295001862148202,0.0145995373338661,0.512789715362422,0.0075,0.235238532110092
GOLGA2P5,0.219566898757086,0.0720107602592433,0.557733734000621,0.017,0.235238532110092
EGFR,0.208324187867064,0.0882325798431066,0.56549941120335,0.032,0.235238532110092
LCNL1,0.281888547408906,0.0198665095510719,0.512789715362422,0.018,0.235238532110092
FAT3,0.257322556041405,0.0341403281152146,0.512789715362422,0.018,0.235238532110092
PTCHD1,-0.235276153532108,0.0534368958329129,0.542425425488207,0.026,0.235238532110092
PTPN9,-0.295803549512176,0.014320834898639,0.512789715362422,0.009,0.235238532110092
LINC00900,-0.227870089312535,0.0616372222018659,0.542425425488207,0.0155,0.235238532110092
TMEM164,-0.272898196255765,0.0243489792215232,0.512789715362422,0.016,0.235238532110092
RAB30,0.22370895013762,0.0666736999024921,0.549140367809024,0.0255,0.235238532110092
CYP7B1,0.26262896287914,0.0304890063226522,0.512789715362422,0.0115,0.235238532110092
PPP1R3D,0.282193952118992,0.0197275171632349,0.512789715362422,0.0085,0.235238532110092
MST1,0.327584727155447,0.00639256598093831,0.499750184065783,0.0035,0.235238532110092
PTPRA,-0.207064393437961,0.0902166806132112,0.56549941120335,0.0235,0.235238532110092
ARHGAP5-AS1,-0.23756668885775,0.0510890507201053,0.542425425488207,0.0335,0.236631818181818
NRG3,-0.216703729600035,0.0758958688890904,0.557733734000621,0.037,0.237595041322314
FUT9,-0.2036285904495,0.0958064101689067,0.576628500374315,0.0365,0.237595041322314
GLUD1,-0.204945648261743,0.0936325020361507,0.572853969150308,0.0365,0.237595041322314
TTLL4,0.246957883692878,0.0423285442959081,0.542425425488207,0.036,0.237595041322314
HRH1,-0.184674410629819,0.131648979234787,0.619947011305634,0.037,0.237595041322314
PRDM16,-0.216302885918047,0.0764528715201788,0.557733734000621,0.0365,0.237595041322314
LRRC3B,-0.194103781053708,0.112723197594039,0.598447249807216,0.0355,0.237595041322314
NTNG2,-0.214317755302492,0.0792595315793501,0.560954851396339,0.0355,0.237595041322314
PCSK5,-0.174653318580139,0.154301377062194,0.634350105700129,0.0365,0.237595041322314
ZFHX2,0.179024423493237,0.144088675906785,0.621982784330956,0.037,0.237595041322314
PLCD4,0.207045305643581,0.0902470102821305,0.56549941120335,0.034,0.237595041322314
IQCA1,-0.20364767824388,0.0957746247894304,0.576628500374315,0.0395,0.243583333333333
EZR,-0.199543802452106,0.10280038824721,0.593996459910136,0.0395,0.243583333333333
EDNRB,-0.208495978016487,0.0879647047285798,0.56549941120335,0.0395,0.243583333333333
CLEC16A,0.174023421365588,0.155816292851479,0.637206629187364,0.0385,0.243583333333333
KCTD15,-0.215997481207962,0.0768794365614523,0.557733734000621,0.039,0.243583333333333
CEP85L,0.201338055123858,0.099680924061999,0.59123723661201,0.0405,0.245053846153846
STOX1,-0.200498192171123,0.101131787654272,0.593996459910136,0.041,0.245053846153846
ALDH4A1,-0.212160834537513,0.0824012291658615,0.560954851396339,0.0405,0.245053846153846
CTH,-0.206071828130183,0.0918044815297297,0.5706566571888,0.041,0.245053846153846
HSPA1A,0.229206234919159,0.0600868882134473,0.542425425488207,0.0435,0.255134328358209
IL33,-0.194695502679499,0.11160940797073,0.598447249807216,0.044,0.255134328358209
HPS4,-0.238425639604865,0.0502306612616878,0.542425425488207,0.0435,0.255134328358209
ALDH2,-0.2125616782195,0.081810029348587,0.560954851396339,0.044,0.255134328358209
SLC7A11,-0.213611506910419,0.0802775733746566,0.560954851396339,0.0445,0.256122222222222
ADGRV1,-0.210958303491551,0.0841951519820971,0.563962354224909,0.047,0.259
GABBR1,-0.179272564820182,0.143524485868614,0.621982784330956,0.047,0.259
PPFIA1,0.218383455505505,0.0735968525547894,0.557733734000621,0.047,0.259
GLI1,-0.195039082978345,0.110966595836745,0.598447249807216,0.0455,0.259
TMEM241,-0.203227746767512,0.0964758108734375,0.576628500374315,0.046,0.259
NR2E1,-0.2170282221045,0.0754473353923642,0.557733734000621,0.0465,0.259
MGST1,-0.188835549804734,0.123020301248604,0.602683836373583,0.0475,0.259911971830986
SOX9-AS1,-0.204964736056124,0.0936012827559747,0.572853969150308,0.048,0.260811188811189
