gene_symbol,Spearman_rho,p,p_fdr,p_spin,p_spin_fdr
SLC5A11,0.330562423078781,0.00590144552320383,0.174456422120992,0.0025,0.0711818181818182
CERCAM,0.305328358907967,0.0113447083676206,0.181283809221366,0.003,0.0711818181818182
NCKAP5,0.370646791277501,0.00186206063368903,0.168899337864997,0.0015,0.0711818181818182
TCF12,0.289695455310466,0.0165647406018898,0.183298734155877,0.0025,0.0711818181818182
DSCAML1,0.335697039767093,0.00513223166443267,0.174456422120992,0.003,0.0711818181818182
RDX,0.342473206772115,0.00425322196098763,0.174456422120992,0.0015,0.0711818181818182
HAPLN2,0.393113125263165,0.000912541591412834,0.168899337864997,0.0015,0.0711818181818182
HSPA2,0.356197330931582,0.00287058067941414,0.168899337864997,0.0015,0.0711818181818182
REEP3,0.379389001103698,0.00141920782914225,0.168899337864997,0.003,0.0711818181818182
GLTP,0.317506371722626,0.00833154711942851,0.176302839175064,0.003,0.0711818181818182
ITGA2,0.328882697173311,0.00617423648288329,0.174456422120992,0.002,0.0711818181818182
HSD17B4,0.317410932750724,0.00835212987749369,0.176302839175064,0.0025,0.0711818181818182
SLC12A2,0.302255224012732,0.0122401324794623,0.183298734155877,0.003,0.0711818181818182
SNX1,0.355720136072073,0.00291093505068419,0.168899337864997,0.001,0.0711818181818182
BBX,0.369024328755172,0.00195672518546873,0.168899337864997,0.001,0.0711818181818182
CHADL,0.398686761222225,0.000758557524147029,0.168899337864997,0.0015,0.0711818181818182
INPP1,0.368089026830535,0.00201323687996789,0.168899337864997,0.0005,0.0711818181818182
LDLRAP1,0.32718388347346,0.00646134896744415,0.174456422120992,0.003,0.0711818181818182
NCAPD2,0.357991583603334,0.00272327585113572,0.168899337864997,0.0015,0.0711818181818182
USH1C,0.39563271412137,0.000839732997137754,0.168899337864997,0.001,0.0711818181818182
ANGPTL2,0.34442016179891,0.00402667765202932,0.174456422120992,0.001,0.0711818181818182
UGT8,0.300804551639826,0.0126836527241124,0.183298734155877,0.0025,0.0711818181818182
KLK6,0.359556782742522,0.00260032589928927,0.168899337864997,0.001,0.0711818181818182
FAM222A,0.30826787924254,0.0105419458588266,0.176889771766958,0.0025,0.0711818181818182
HAGLR,0.344248371649487,0.00404622724700115,0.174456422120992,0.003,0.0711818181818182
PCSK6,0.383187472185387,0.00125829581759491,0.168899337864997,0.002,0.0711818181818182
LGR5,0.336136059037841,0.00507076835353791,0.174456422120992,0.002,0.0711818181818182
COL9A2,0.313364320342092,0.00926673509704531,0.176889771766958,0.0025,0.0711818181818182
MCM7,0.35111997762641,0.00332666794992341,0.173652066986002,0.002,0.0711818181818182
OTUD7B,0.334494508721131,0.00530396899352119,0.174456422120992,0.0025,0.0711818181818182
SHB,0.401225437874811,0.000696572239839007,0.168899337864997,0.0015,0.0711818181818182
MTFR1,0.317830864227092,0.00826189696653247,0.176302839175064,0.003,0.0711818181818182
SPATA7,-0.296147129811022,0.0142028018746707,0.183298734155877,0.0015,0.0711818181818182
MOBP,0.288416573086983,0.0170709576604538,0.183298734155877,0.005,0.0757741935483871
PIP4K2A,0.289256436039718,0.016737045145601,0.183298734155877,0.005,0.0757741935483871
KCNH8,0.323137271064827,0.00719299219158595,0.176302839175064,0.006,0.0757741935483871
BCAS1,0.333177450908888,0.00549786212303087,0.174456422120992,0.005,0.0757741935483871
TMEM165,0.308401493803203,0.0105066603631932,0.176889771766958,0.006,0.0757741935483871
APBB2,0.310195746474955,0.0100426767554074,0.176889771766958,0.005,0.0757741935483871
UBE2E2,-0.299506581621963,0.0130921990888031,0.183298734155877,0.006,0.0757741935483871
DTNB,0.292978555943885,0.0153237877505475,0.183298734155877,0.006,0.0757741935483871
KIRREL3,-0.269767797977388,0.0260986013394216,0.194620998559687,0.006,0.0757741935483871
MYRF,0.31660924538675,0.00852678666563243,0.176302839175064,0.006,0.0757741935483871
