gene_symbol,Spearman_rho,p,p_fdr,p_spin,p_spin_fdr
CDYL2,-0.352742440148739,0.00317437101102105,0.246744315432127,0,0
MYLK2,0.352742440148739,0.00317437101102105,0.246744315432127,0,0
ROBO4,0.349115759216474,0.00352375301205838,0.246744315432127,0.001,0.104875
CRIM1,-0.351711699252201,0.00327038730708783,0.246744315432127,0.001,0.104875
IFNGR1,0.312868037688203,0.00938470304045833,0.248758459500256,0.001,0.104875
GABRE,-0.394983729112439,0.000857965349635704,0.246744315432127,0.001,0.104875
LMNA,0.340621690717222,0.00447906335264326,0.246744315432127,0.001,0.104875
TAP1,0.367879061092351,0.00202612253116638,0.246744315432127,0.0005,0.104875
TUBB,-0.35220798190609,0.00322383926398917,0.246744315432127,0.0015,0.139833333333333
HLA-B,0.33884652583985,0.00470549350049349,0.246744315432127,0.005,0.146337209302326
NEAT1,0.281182299016833,0.0201911319262319,0.258423541990529,0.0105,0.146337209302326
MYRIP,-0.247015147076019,0.0422792032455676,0.329049755781983,0.014,0.146337209302326
VWF,0.265663922185614,0.0285521261684268,0.298453913830982,0.0135,0.146337209302326
IFI27,0.296681588053672,0.014020861858551,0.248758459500256,0.0125,0.146337209302326
KLF2,0.288588363236406,0.017002196633791,0.248758459500256,0.012,0.146337209302326
PODXL,0.279750714438308,0.0208630413195892,0.258423541990529,0.005,0.146337209302326
SRGN,0.316971913479977,0.00844738397670789,0.248758459500256,0.0065,0.146337209302326
MFSD2A,0.290306264730637,0.0163275457289038,0.248758459500256,0.0065,0.146337209302326
SLC38A5,0.307408928495425,0.0107712496364928,0.248758459500256,0.014,0.146337209302326
HLA-A,0.287214042041022,0.017558992362234,0.248758459500256,0.0115,0.146337209302326
ELOVL7,0.288378397498223,0.0170862702187112,0.248758459500256,0.009,0.146337209302326
TCN2,0.307428016289805,0.0107661073123177,0.248758459500256,0.0135,0.146337209302326
GIMAP7,0.292806765794462,0.0153866797722785,0.248758459500256,0.012,0.146337209302326
NOSTRIN,0.254707528211298,0.0360698938950588,0.318524216359585,0.012,0.146337209302326
HYAL2,0.262380821552195,0.0306521300897469,0.306156394586877,0.0145,0.146337209302326
FOXC1,0.294982774353821,0.0146062296447869,0.248758459500256,0.0145,0.146337209302326
GALNT15,0.238368376221724,0.0502875173780106,0.34301810634269,0.01,0.146337209302326
MYL12A,0.291489707982219,0.0158762685177615,0.248758459500256,0.0105,0.146337209302326
TNS1,0.310233922063715,0.010033001634667,0.248758459500256,0.0055,0.146337209302326
ANXA5,0.290783459590146,0.0161442714277959,0.248758459500256,0.009,0.146337209302326
SERPINB6,0.289619104132945,0.0165945968167981,0.248758459500256,0.014,0.146337209302326
FKBP1A,-0.258677789442409,0.0331747373856902,0.310342172155427,0.008,0.146337209302326
SEC14L1,0.285896984228778,0.0181071692914656,0.248758459500256,0.0055,0.146337209302326
ACTN4,0.249725613878028,0.0399975273182848,0.327214489495907,0.0135,0.146337209302326
BMPR2,-0.33940007187688,0.00463382375635278,0.246744315432127,0.0055,0.146337209302326
IFITM1,0.296051690839121,0.0142355044076811,0.248758459500256,0.012,0.146337209302326
ADCY4,0.300919078406108,0.0126481396592931,0.248758459500256,0.01,0.146337209302326
COL1A2,0.29435287713927,0.0148285630900464,0.248758459500256,0.006,0.146337209302326
SERTAD1,0.361351035414274,0.00246550170361127,0.246744315432127,0.003,0.146337209302326
PCOLCE,0.310863819278267,0.00987452901657005,0.248758459500256,0.0075,0.146337209302326
RCSD1,-0.260185725198456,0.0321272932407093,0.310191325266483,0.011,0.146337209302326
FRMD6,-0.287710324694911,0.0173561520080931,0.248758459500256,0.0095,0.146337209302326
CYR61,0.267133682352901,0.0276520063954788,0.297436325202651,0.015,0.146337209302326
PLEKHG2,0.265243990709247,0.0288137866749816,0.298453913830982,0.0125,0.146337209302326
TES,0.305042041992262,0.0114256613845281,0.248758459500256,0.006,0.146337209302326
FMOD,0.307084435990959,0.0108589961052396,0.248758459500256,0.007,0.146337209302326
IFIH1,0.2470342348704,0.0422627667964002,0.329049755781983,0.012,0.146337209302326
PTEN,-0.25318050466087,0.0372380699830377,0.322090110471841,0.009,0.146337209302326
SNTB1,-0.323232710036729,0.00717493332988343,0.248758459500256,0.0035,0.146337209302326
DMBT1,0.324282538727648,0.00697889463760906,0.248758459500256,0.0025,0.146337209302326
C1R,-0.2325656867301,0.0563281361862149,0.350844212845468,0.015,0.146337209302326
ARL13B,0.301262658704954,0.0125421159331218,0.248758459500256,0.003,0.146337209302326
ZNF394,0.235982401924181,0.0527037715284121,0.347417365919585,0.015,0.146337209302326
PLOD3,0.292291395346193,0.0155766894120772,0.248758459500256,0.0115,0.146337209302326
TM4SF18,0.279578924288885,0.0209449354652634,0.258423541990529,0.0135,0.146337209302326
LEF1,0.276849369692496,0.0222833222938554,0.263319822599221,0.01,0.146337209302326
ST6GALNAC1,0.246098932945763,0.04307438839848,0.329049755781983,0.011,0.146337209302326
APOL3,0.29269223902818,0.0154287309948137,0.248758459500256,0.009,0.146337209302326
IL32,0.342435031183354,0.00425777466297153,0.246744315432127,0.005,0.146337209302326
CD320,0.286087862172582,0.0180268273430681,0.248758459500256,0.013,0.146337209302326
SLC39A8,0.277479266907047,0.0219681831911353,0.263304367105179,0.011,0.146337209302326
TNFSF10,0.344954620041559,0.00396639130037803,0.246744315432127,0.004,0.146337209302326
MMRN2,0.306798119075254,0.0109369342533051,0.248758459500256,0.004,0.146337209302326
ACVR1,0.301109956349912,0.0125891422991814,0.248758459500256,0.0065,0.146337209302326
ZIC3,0.304984778609121,0.0114419119633503,0.248758459500256,0.0045,0.146337209302326
FLT4,0.290554406057582,0.0162320214342254,0.248758459500256,0.01,0.146337209302326
ECSCR,0.368279904774339,0.00200158645513948,0.246744315432127,0.003,0.146337209302326
PLOD1,0.2949064231763,0.0146330253167219,0.248758459500256,0.008,0.146337209302326
CCDC3,-0.278319129859782,0.021553896707522,0.262082888950884,0.0085,0.146337209302326
GJA4,0.333482855618973,0.00545235325682118,0.248758459500256,0.0045,0.146337209302326
COX4I2,0.345832658583055,0.00386908632851348,0.246744315432127,0.0035,0.146337209302326
SERPINH1,0.303075999171087,0.0119951896396656,0.248758459500256,0.005,0.146337209302326
IFI35,0.291184303272133,0.0159916889196168,0.248758459500256,0.0095,0.146337209302326
TBX2,0.299640196182625,0.0130496244214834,0.248758459500256,0.005,0.146337209302326
SHISA5,-0.264442303345273,0.0293189232842476,0.299982641896143,0.0105,0.146337209302326
ATP8B1,0.279693451055167,0.0208903090199923,0.258423541990529,0.013,0.146337209302326
TMEM45B,0.304889339637219,0.0114690408020254,0.248758459500256,0.013,0.146337209302326
PPARD,0.26818351104382,0.0270238044433529,0.297436325202651,0.0095,0.146337209302326
PES1,0.324263450933268,0.00698241659696785,0.248758459500256,0.0045,0.146337209302326
SLC38A3,0.345622692844871,0.00389216014268779,0.246744315432127,0.0025,0.146337209302326
GPIHBP1,0.294142911401086,0.0149033188279319,0.248758459500256,0.0075,0.146337209302326
PROSER2,0.272860020667004,0.0243697022772549,0.283908186272484,0.0145,0.146337209302326
SLC35A4,0.292959468149505,0.0153307648171707,0.248758459500256,0.0055,0.146337209302326
ADAMTS8,-0.23760486444651,0.0510506469058381,0.343913869437228,0.0135,0.146337209302326
TMEM179B,0.232966530412087,0.0558927110818895,0.350844212845468,0.0145,0.146337209302326
CAVIN1,0.293913857868522,0.0149852402949303,0.248758459500256,0.0055,0.146337209302326
