gene_symbol,Spearman_rho,p,p_fdr,p_spin,p_spin_fdr
ANKRD44,0.270932153434589,0.0254358132065629,0.400962845832162,0.004,0.175714285714286
MAML3,0.339285545110598,0.00464857224433658,0.400962845832162,0.0035,0.175714285714286
UBE2E2,-0.299506581621963,0.0130921990888031,0.400962845832162,0.0045,0.175714285714286
ATM,0.340049056885811,0.00455102825167604,0.400962845832162,0.0035,0.175714285714286
TCF12,0.289695455310466,0.0165647406018898,0.400962845832162,0.0035,0.175714285714286
DAGLB,-0.318937956301152,0.00802808291385594,0.400962845832162,0.005,0.175714285714286
SRGN,0.316971913479977,0.00844738397670789,0.400962845832162,0.003,0.175714285714286
DDX39A,0.426993960288274,0.000281973742456671,0.173413851610853,0.001,0.175714285714286
S100A11,0.31046297559628,0.00997512104729868,0.400962845832162,0.006,0.175714285714286
HLA-DPB1,0.31046297559628,0.00997512104729868,0.400962845832162,0.0055,0.175714285714286
INHBA,0.322946393121024,0.00722922951850716,0.400962845832162,0.0025,0.175714285714286
IRAK2,0.319644204693225,0.00788196799689634,0.400962845832162,0.005,0.175714285714286
SLC15A4,0.32159115972002,0.00749114875993151,0.400962845832162,0.0045,0.175714285714286
AKAP13,-0.29103160091709,0.0160496688984241,0.400962845832162,0.006,0.175714285714286
USP15,0.312104525912989,0.00956874784477351,0.400962845832162,0.0045,0.175714285714286
COTL1,0.309642200437925,0.0101838809514186,0.400962845832162,0.0055,0.175714285714286
LPL,-0.295230915680766,0.0145194353724327,0.400962845832162,0.0055,0.175714285714286
MYO7A,-0.278510007803585,0.0214606730934437,0.400962845832162,0.0035,0.175714285714286
TNFRSF12A,0.316532894209229,0.00854358584837588,0.400962845832162,0.0045,0.175714285714286
POPDC2,0.336116971243461,0.00507342709295674,0.400962845832162,0.0045,0.175714285714286
TNF,0.266809189848435,0.0278486497624657,0.400962845832162,0.006,0.175714285714286
DIAPH2,-0.287271305424163,0.017535484569153,0.400962845832162,0.0095,0.191148648648649
NEAT1,0.281182299016833,0.0201911319262319,0.400962845832162,0.011,0.191148648648649
RNF213,0.290229913553116,0.0163570347294182,0.400962845832162,0.0075,0.191148648648649
TNFRSF11A,-0.253008714511447,0.0373714368628098,0.477095703127431,0.007,0.191148648648649
TSR1,-0.239437292707023,0.0492348530379304,0.525172418989967,0.009,0.191148648648649
CD53,-0.295708110540274,0.014353771491334,0.400962845832162,0.009,0.191148648648649
SPP1,0.29712060732442,0.0138729180714716,0.400962845832162,0.0115,0.191148648648649
MAN1A1,-0.27207742109741,0.0247978275049679,0.400962845832162,0.011,0.191148648648649
RNF149,-0.271962894331128,0.0248610106473462,0.400962845832162,0.009,0.191148648648649
EGR3,-0.280686016362944,0.0204219407325061,0.400962845832162,0.0095,0.191148648648649
MDM2,0.251214461839695,0.0387882685469456,0.477095703127431,0.0105,0.191148648648649
TXLNB,-0.268527091342666,0.0268208432870598,0.400962845832162,0.008,0.191148648648649
SPRED1,-0.296719763642433,0.0140079433974174,0.400962845832162,0.008,0.191148648648649
MYO9B,0.267210033530422,0.0276059077821629,0.400962845832162,0.0105,0.191148648648649
MFSD1,0.278147339710359,0.0216380922295314,0.400962845832162,0.0115,0.191148648648649
ANXA5,0.290783459590146,0.0161442714277959,0.400962845832162,0.0115,0.191148648648649
LDLRAD4,0.233997271308625,0.054785612878812,0.547281478606245,0.0155,0.19859375
ZSWIM6,0.257589785162729,0.0339480944191527,0.463957290395086,0.0145,0.19859375
HLA-E,0.272153772274931,0.0247557809405189,0.400962845832162,0.0155,0.19859375
NKX3-1,0.229664341984287,0.0595626750016115,0.57236008009361,0.0135,0.19859375
SERPINF1,-0.24039168242604,0.0483103039717804,0.525172418989967,0.0145,0.19859375
SCAMP2,0.268107159866298,0.0270690823944133,0.400962845832162,0.0145,0.19859375
SLC50A1,0.252531519651938,0.0377439859055576,0.477095703127431,0.0125,0.19859375
SYNE4,0.238349288427344,0.0503064811229108,0.525172418989967,0.015,0.19859375
HCLS1,0.267973545305636,0.0271484727490547,0.400962845832162,0.014,0.19859375
IL6R,0.269710534594247,0.02613157026881,0.400962845832162,0.0135,0.19859375
OTUD1,-0.24930568240166,0.0403441947519593,0.486503524950097,0.0155,0.19859375
ZNF700,0.260242988581597,0.0320880690176015,0.448503691950567,0.0165,0.206971153846154
CREB3,-0.244476470423434,0.0445128139123736,0.510281424588725,0.0175,0.206971153846154
ARRB2,-0.219261494047001,0.0724174316874429,0.610092061476402,0.0175,0.206971153846154
DEF6,0.279731626643927,0.0208721271836544,0.400962845832162,0.0175,0.206971153846154
RNPEP,0.277307476757624,0.0220537522240256,0.400962845832162,0.0185,0.214669811320755
