gene_symbol,Spearman_rho,p,p_fdr,p_spin,p_spin_fdr
GRIA2,-0.469120722485691,5.45367525795646e-05,0.0461325383961965,0,0
TSHZ2,-0.462306379891908,7.21948957686956e-05,0.0461325383961965,0,0
AGBL4,-0.360950191732287,0.00249506774259683,0.354301051978756,0.0005,0.1065
KCNB2,-0.319109746450575,0.00799232508726235,0.354301051978756,0.0005,0.1065
OPCML,-0.385917026781776,0.0011530330305713,0.354301051978756,0.0005,0.1065
GHR,-0.325847737866836,0.00669534600887876,0.354301051978756,0.0005,0.1065
DPP10,-0.320312277496537,0.00774589845200799,0.354301051978756,0.001,0.1278
PLCXD3,-0.381794063195622,0.00131530610504942,0.354301051978756,0.001,0.1278
MCTP1,-0.302827857844142,0.0120687904315701,0.390521784277071,0.001,0.1278
TRPC5,-0.322316495906473,0.00734995082514906,0.354301051978756,0.001,0.1278
DGKB,-0.327871044071152,0.00634383015895481,0.354301051978756,0.002,0.136928571428571
CDH9,-0.316303840676665,0.00859415697288062,0.354301051978756,0.002,0.136928571428571
BICC1,-0.290115386786834,0.016401353941926,0.42589100792406,0.004,0.136928571428571
GULP1,-0.260262076375977,0.032075003190855,0.442188806971707,0.0045,0.136928571428571
MEIS2,0.334532684309892,0.00529844004093003,0.354301051978756,0.0035,0.136928571428571
TMEM132B,-0.270684012107645,0.0255758572048061,0.431408943101687,0.004,0.136928571428571
SV2B,-0.267725403978692,0.0272964329036662,0.433022251466382,0.0055,0.136928571428571
PTPRO,-0.360186679957073,0.0025522619402184,0.354301051978756,0.0035,0.136928571428571
RFX3,-0.322621900616558,0.00729120039964938,0.354301051978756,0.0055,0.136928571428571
CHL1,-0.31716279142378,0.00840585315175364,0.354301051978756,0.0055,0.136928571428571
ABI2,-0.312906213276963,0.00937558234383022,0.372191884824267,0.0035,0.136928571428571
WDR17,-0.335238932701965,0.00519706768772165,0.354301051978756,0.002,0.136928571428571
LONRF2,-0.284942594509761,0.0185134899321465,0.42589100792406,0.006,0.136928571428571
ARNT2,-0.305347446702348,0.0113393292325838,0.388286617123833,0.005,0.136928571428571
