gene_symbol,Spearman_rho,p,p_fdr,p_spin,p_spin_fdr
GRIA2,-0.469120722485691,5.45367525795646e-05,0.0408623110050817,0,0
TSHZ2,-0.462306379891908,7.21948957686956e-05,0.0408623110050817,0,0
AGBL4,-0.360950191732287,0.00249506774259683,0.313825344945189,0.0005,0.0943333333333333
KCNB2,-0.319109746450575,0.00799232508726235,0.313825344945189,0.0005,0.0943333333333333
OPCML,-0.385917026781776,0.0011530330305713,0.313825344945189,0.0005,0.0943333333333333
GHR,-0.325847737866836,0.00669534600887876,0.313825344945189,0.0005,0.0943333333333333
DPP10,-0.320312277496537,0.00774589845200799,0.313825344945189,0.001,0.1132
PLCXD3,-0.381794063195622,0.00131530610504942,0.313825344945189,0.001,0.1132
MCTP1,-0.302827857844142,0.0120687904315701,0.345908184508329,0.001,0.1132
TRPC5,-0.322316495906473,0.00734995082514906,0.313825344945189,0.001,0.1132
DGKB,-0.327871044071152,0.00634383015895481,0.313825344945189,0.002,0.121285714285714
CDH9,-0.316303840676665,0.00859415697288062,0.313825344945189,0.002,0.121285714285714
BICC1,-0.290115386786834,0.016401353941926,0.377236792621311,0.004,0.121285714285714
GULP1,-0.260262076375977,0.032075003190855,0.391672714782451,0.0045,0.121285714285714
MEIS2,0.334532684309892,0.00529844004093003,0.313825344945189,0.0035,0.121285714285714
TMEM132B,-0.270684012107645,0.0255758572048061,0.382124353357676,0.004,0.121285714285714
SV2B,-0.267725403978692,0.0272964329036662,0.383553355758955,0.0055,0.121285714285714
PTPRO,-0.360186679957073,0.0025522619402184,0.313825344945189,0.0035,0.121285714285714
RFX3,-0.322621900616558,0.00729120039964938,0.313825344945189,0.0055,0.121285714285714
CHL1,-0.31716279142378,0.00840585315175364,0.313825344945189,0.0055,0.121285714285714
ABI2,-0.312906213276963,0.00937558234383022,0.329672311127598,0.0035,0.121285714285714
WDR17,-0.335238932701965,0.00519706768772165,0.313825344945189,0.002,0.121285714285714
LONRF2,-0.284942594509761,0.0185134899321465,0.377236792621311,0.006,0.121285714285714
ARNT2,-0.305347446702348,0.0113393292325838,0.343928365089342,0.005,0.121285714285714
NETO1,-0.346328941236944,0.00381503012467731,0.313825344945189,0.0045,0.121285714285714
SHC3,-0.345260024751645,0.00393230263800911,0.313825344945189,0.0025,0.121285714285714
NBEA,-0.255451952192131,0.0355115715178625,0.391672714782451,0.0045,0.121285714285714
NOL4,-0.281506791521299,0.0200414238935052,0.377236792621311,0.003,0.121285714285714
PRICKLE2,-0.294104735812326,0.0149169455753614,0.36893564573068,0.0025,0.121285714285714
BASP1,-0.332051271040448,0.00566858391654982,0.313825344945189,0.0015,0.121285714285714
C1orf115,-0.341900572940705,0.00432196736896292,0.313825344945189,0.0035,0.121285714285714
BEX1,-0.317239142601301,0.00838929084419436,0.313825344945189,0.004,0.121285714285714
RTN3,-0.311932735763566,0.0096105885752745,0.329672311127598,0.002,0.121285714285714
CEND1,0.280666928568564,0.0204308627089944,0.377236792621311,0.004,0.121285714285714
