gene_symbol,Spearman_rho,p,p_fdr,p_spin,p_spin_fdr
RELN,-0.322259232523332,0.00736101260104746,0.359538258065117,0.0015,0.135862068965517
GRIK2,-0.321667510897541,0.00747617474888372,0.359538258065117,0.0005,0.135862068965517
SORCS3,-0.364901365169018,0.00221699415290403,0.359538258065117,0.0015,0.135862068965517
PLCXD3,-0.381794063195622,0.00131530610504942,0.323894128368419,0.0015,0.135862068965517
MAML3,0.339285545110598,0.00464857224433658,0.359538258065117,0.0015,0.135862068965517
DGKB,-0.327871044071152,0.00634383015895481,0.359538258065117,0.0025,0.135862068965517
RTN3,-0.311932735763566,0.0096105885752745,0.378657189865815,0.0015,0.135862068965517
PNMA2,-0.325446894184849,0.00676698116210845,0.359538258065117,0.004,0.135862068965517
CANX,-0.269901412538051,0.0260218104222804,0.435713937615768,0.0035,0.135862068965517
NETO1,-0.346328941236944,0.00381503012467731,0.359538258065117,0.004,0.135862068965517
CDH9,-0.316303840676665,0.00859415697288062,0.359538258065117,0.0035,0.135862068965517
KCNB2,-0.319109746450575,0.00799232508726235,0.359538258065117,0.0035,0.135862068965517
MORF4L2,-0.300270093397176,0.0128505227768984,0.395555154226404,0.003,0.135862068965517
DPP10,-0.320312277496537,0.00774589845200799,0.359538258065117,0.0015,0.135862068965517
PTPRO,-0.360186679957073,0.0025522619402184,0.359538258065117,0.004,0.135862068965517
NEDD4L,-0.27545596070273,0.022994115451299,0.435561609990952,0.003,0.135862068965517
TSHZ2,-0.462306379891908,7.21948957686956e-05,0.0355559861660826,0.0005,0.135862068965517
OPCML,-0.385917026781776,0.0011530330305713,0.323894128368419,0.0005,0.135862068965517
LAMP5,-0.315559416695831,0.00876032303915005,0.359538258065117,0.0015,0.135862068965517
MCTP1,-0.302827857844142,0.0120687904315701,0.395555154226404,0.002,0.135862068965517
GRIA2,-0.469120722485691,5.45367525795646e-05,0.0355559861660826,0.002,0.135862068965517
CACNB2,-0.334647211076174,0.00528188368440043,0.359538258065117,0.002,0.135862068965517
EYA4,0.283320131987432,0.0192221299888788,0.428305137788598,0.0035,0.135862068965517
ASTN2,0.341022534399209,0.00442928907234751,0.359538258065117,0.004,0.135862068965517
DSCAML1,0.335697039767093,0.00513223166443267,0.359538258065117,0.003,0.135862068965517
BEX2,-0.280552401802282,0.0204844643483612,0.428305137788598,0.004,0.135862068965517
BEX1,-0.317239142601301,0.00838929084419436,0.359538258065117,0.004,0.135862068965517
