gene_symbol,Spearman_rho,p,p_fdr,p_spin,p_spin_fdr
OPCML,-0.385917026781776,0.0011530330305713,0.10419872518649,0.0005,0.03525
NCKAP5,0.370646791277501,0.00186206063368903,0.10419872518649,0.0005,0.03525
BCAS1,0.333177450908888,0.00549786212303087,0.129199759891225,0.0015,0.052875
SORCS3,-0.364901365169018,0.00221699415290403,0.10419872518649,0.0015,0.052875
KAZN,0.291795112692304,0.0157615645442934,0.212329856806042,0.004,0.064625
CHL1,-0.31716279142378,0.00840585315175364,0.169317899199609,0.005,0.064625
ADGRL3,-0.284026380379504,0.0189108663594351,0.222202679723363,0.0035,0.064625
ASTN2,0.341022534399209,0.00442928907234751,0.129199759891225,0.0055,0.064625
LRRTM4,-0.305137480964164,0.0113986215624385,0.178578404478203,0.0055,0.064625
DSCAML1,0.335697039767093,0.00513223166443267,0.129199759891225,0.003,0.064625
TCF12,0.289695455310466,0.0165647406018898,0.212329856806042,0.0055,0.064625
MARCKS,-0.245984406179481,0.0431746492081888,0.339382312737584,0.005,0.064625
APBB2,0.310195746474955,0.0100426767554074,0.177002177814055,0.0095,0.103038461538462
SHISA9,-0.23647868457807,0.0521935331293305,0.350442293868362,0.0105,0.10575
COL11A1,-0.242281374069694,0.0465217208463587,0.344747526811277,0.0135,0.11896875
CTTNBP2,0.239780873005869,0.0489003584129471,0.344747526811277,0.013,0.11896875
CMYA5,0.252226114941853,0.0379840333579573,0.339382312737584,0.0145,0.120264705882353
SPATA6,0.245812616030058,0.0433254016260745,0.339382312737584,0.0165,0.12925
ZSWIM6,0.257589785162729,0.0339480944191527,0.339382312737584,0.0175,0.129868421052632
ASIC4,-0.246614303394032,0.0426255909520174,0.339382312737584,0.019,0.13395
HIP1,0.271962894331128,0.0248610106473462,0.269646346251985,0.021,0.141
PDZD2,-0.223995267053326,0.0663168679075638,0.385821419461103,0.0245,0.157022727272727
NXPH1,-0.223289018661253,0.0671998461444596,0.385821419461103,0.031,0.170826923076923
PID1,-0.209068611847897,0.0870764131313984,0.438491937554542,0.0305,0.170826923076923
NCAM2,-0.189579973785567,0.121523230162025,0.489565012938445,0.0305,0.170826923076923
SNX22,0.223193579689351,0.0673198892436842,0.385821419461103,0.0315,0.170826923076923
RPL13,-0.1913933142517,0.1179347947564,0.489082531195658,0.0335,0.174944444444444
NRCAM,-0.19251949412014,0.115747425337455,0.489082531195658,0.038,0.18095
GALNT13,-0.210328406277,0.085147073997273,0.438491937554542,0.0385,0.18095
SLC24A3,-0.195478102249093,0.110149385058709,0.489082531195658,0.036,0.18095
SOX2-OT,0.209259489791701,0.0867818929776109,0.438491937554542,0.047,0.199058823529412
NKAIN3,-0.17581767403734,0.151529909779432,0.555382387512823,0.0475,0.199058823529412
SCN1A,0.174939635495844,0.153616405056738,0.555382387512823,0.048,0.199058823529412
NRXN1,-0.222334628942236,0.0684080530959403,0.385821419461103,0.044,0.199058823529412
BRINP3,0.201299879535098,0.0997465185490582,0.484974452255766,0.051,0.201708333333333
ITPR2,0.193702937371721,0.113482550205086,0.489082531195658,0.0515,0.201708333333333
CA10,-0.15079357560471,0.219651677511275,0.632058908756935,0.071,0.247569767441861
NAV2,0.157054372161463,0.200880529850637,0.632058908756935,0.0655,0.247569767441861
GRIK1,-0.170473091610844,0.164561691152449,0.580079961312382,0.0745,0.247569767441861
KCNQ1OT1,0.165930196548322,0.176271974631887,0.606203620075513,0.075,0.247569767441861
CDH20,0.157111635544604,0.20071429485807,0.632058908756935,0.0715,0.247569767441861
GPC6,-0.183510055172618,0.134143606837221,0.525395793445784,0.068,0.247569767441861
LRP1,0.18028421792234,0.141241450847198,0.538244447823105,0.0755,0.247569767441861
CHD7,0.193149391334691,0.114537644361783,0.489082531195658,0.0815,0.261170454545455
TMBIM6,0.162837973858706,0.184582736768363,0.619670616293789,0.084,0.2632
XYLT1,-0.143807442861504,0.242011461963893,0.652931772709776,0.0935,0.2805
ZNF462,0.143826530655885,0.241948313388729,0.652931772709776,0.0925,0.2805
CSMD3,-0.152797794014646,0.213513437357023,0.632058908756935,0.097,0.2849375
LUZP2,-0.135981447165564,0.268861709521154,0.685159256116476,0.1015,0.292071428571429
DSCAM,0.15188157988439,0.216304311943237,0.632058908756935,0.1045,0.29469
HTRA1,0.151156243697937,0.218531877023772,0.632058908756935,0.1095,0.302735294117647
PTPRZ1,-0.132831961092807,0.280210609500523,0.685159256116476,0.1275,0.321026785714286
NLGN4X,-0.129186192366162,0.293739432780312,0.685159256116476,0.126,0.321026785714286
FCHSD2,-0.125941267321503,0.306134986775447,0.685159256116476,0.124,0.321026785714286
KIF26B,-0.152988671958449,0.212935215475901,0.632058908756935,0.1205,0.321026785714286
ATRNL1,0.126342111003491,0.304585699668131,0.685159256116476,0.1215,0.321026785714286
