measure,celltype,Spearman_rho,p,p_spin
CT,Astro,-0.197732564797496,0.105967137111685,0.2555
CT,Endo,-0.139901515440699,0.254520122676678,0.214
CT,Neuro-Ex,0.363324044737947,0.00246494375882049,0.011
CT,Neuro-In,0.144520364927282,0.239052590043806,0.147
CT,Micro,0.0506928274229874,0.680745440492806,0.419
CT,Oligo,0.0931022636179715,0.44925458907885,0.267
CT,OPC,-0.195480398518914,0.110065608664565,0.251
CT,Per,-0.113829827842883,0.354497585029241,0.207
CT,Subplate,-0.0654273390082834,0.595242846036119,0.424
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
,,0,0,0
