gene_symbol,Spearman_rho,p,p_fdr,p_spin,p_spin_fdr
ABCF1,0.567507729892736,7.45693495240896e-07,7.45693495240896e-05,0.001,0.05
ABHD8,0.457189754552048,0.000105818604287822,0.00264546510719555,0.0015,0.05
ABLIM3,-0.393785547963507,0.000973510465955861,0.013907292370798,0.0015,0.05
ABLIM1,-0.430278276138489,0.000285270491202822,0.0047545081867137,0.003,0.075
ABHD16A,0.485399091499027,3.43565517368803e-05,0.00143613498470131,0.004,0.08
ABCC12,0.479902278886896,4.30840495410393e-05,0.00143613498470131,0.01,0.166666666666667
AADACL3,-0.372485399091499,0.00188041744819761,0.0188041744819761,0.016,0.228571428571429
ABHD2,-0.324846356453029,0.00710746181789428,0.0374076937783909,0.0225,0.24
ABHD5,-0.340993243501164,0.00462612987596884,0.0308408658397923,0.024,0.24
ACACB,-0.33801580333626,0.00501535249339693,0.0313459530837308,0.0225,0.24
AARS,0.448600984845593,0.000146436909811598,0.00292873819623197,0.0325,0.246428571428571
AASS,-0.333702332328129,0.00563076700007181,0.0327438046578158,0.0305,0.246428571428571
ABCD4,-0.247356567545902,0.0422392793575535,0.127997816235011,0.0345,0.246428571428571
ABHD3,-0.387754323014086,0.00117793534874088,0.014724191859261,0.0325,0.246428571428571
ABT1,0.357903576745429,0.00288313848188226,0.0262103498352933,0.039,0.26
A2ML1,-0.218116578234149,0.0740642327017636,0.194905875530957,0.054,0.293103448275862
AASDHPPT,0.296369813337405,0.014412909991245,0.0626648260488911,0.084,0.293103448275862
AATF,0.343359926709165,0.00433614688212734,0.0308408658397923,0.0775,0.293103448275862
ABCA3,0.306943543153796,0.011166782462644,0.0531751545840188,0.085,0.293103448275862
ABCD3,-0.2656411039432,0.0288587058617371,0.109017109496476,0.062,0.293103448275862
ABCE1,-0.173951215788067,0.155693026697626,0.305280444505149,0.085,0.293103448275862
ABCF2,0.373096156048403,0.00184630455299149,0.0188041744819761,0.0735,0.293103448275862
ABCF3,0.314119937397412,0.00934512457228968,0.0467256228614484,0.0775,0.293103448275862
ABHD13,0.258197503530939,0.0337953039439077,0.109017109496476,0.069,0.293103448275862
ABHD14B,0.270985227316105,0.0257030227933036,0.102812091173214,0.0755,0.293103448275862
ABHD4,-0.331984578386838,0.00589388483840685,0.0327438046578158,0.0605,0.293103448275862
ABL1,-0.292667099286178,0.0157285816138511,0.0655357567243797,0.0595,0.293103448275862
ABLIM2,0.349009428560522,0.00370830038244639,0.0285253875572799,0.0735,0.293103448275862
ACAD10,-0.249685078444097,0.0402912840856215,0.125910262767567,0.075,0.293103448275862
A2M,-0.195976638546398,0.109152149009031,0.248073065929617,0.0965,0.3015625
ABAT,-0.352368591823491,0.00337468410755893,0.028122367562991,0.0905,0.3015625
ACAA1,-0.212314387143566,0.0822382041695272,0.210867190178275,0.0965,0.3015625
AANAT,-0.15814787952819,0.197255562467144,0.352632206121384,0.1005,0.304545454545455
ABRAXAS2,-0.302553727526053,0.0124276124628506,0.0564891475584116,0.1075,0.316176470588235
ABCA11P,0.260029774401649,0.0325186926114718,0.109017109496476,0.1235,0.333783783783784
ABCA5,-0.259609878993778,0.0328076078881953,0.109017109496476,0.1235,0.333783783783784
ABHD14A,0.180173302286521,0.141258552677531,0.294288651411522,0.121,0.333783783783784
ABCA10,0.166469443066,0.174472999075013,0.329194337877383,0.139,0.352439024390244
ABCB10,0.200366454174142,0.101325969156252,0.235641788735469,0.1365,0.352439024390244
ABCC1,-0.206474023743177,0.0911760137686534,0.222380521386959,0.1445,0.352439024390244
ABHD11,-0.178417376035424,0.145225631890262,0.296378840592372,0.1435,0.352439024390244
A1BG-AS1,0.225751040195442,0.0643169968996771,0.183762848284792,0.154,0.366666666666667
